@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: FX493 |Applying initial value "000" on instance burst_size_reg[2:0].
@N: FX493 |Applying initial value "0" on instance id_reg[0].
@N: FX493 |Applying initial value "000" on instance m_axil_awprot_reg[2:0].
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance m_axil_wdata_reg[31:0].
@N: FX493 |Applying initial value "0000" on instance m_axil_wstrb_reg[3:0].
@N: FX493 |Applying initial value "0" on instance first_transfer_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_bid_reg[0].
@N: FX493 |Applying initial value "0" on instance burst_active_reg.
@N: FX493 |Applying initial value "0" on instance m_axil_wvalid_reg.
@N: FX493 |Applying initial value "00" on instance s_axi_bresp_reg[1:0].
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance m_axil_awaddr_reg[31:0].
@N: FX493 |Applying initial value "0" on instance m_axil_awvalid_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_bvalid_reg.
@N: FX493 |Applying initial value "0" on instance m_axil_bready_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_wready_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_awready_reg.
@N: FX493 |Applying initial value "000" on instance burst_size_reg[2:0].
@N: FX493 |Applying initial value "0" on instance id_reg[0].
@N: FX493 |Applying initial value "000" on instance m_axil_arprot_reg[2:0].
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance s_axi_rdata_reg[31:0].
@N: FX493 |Applying initial value "00" on instance s_axi_rresp_reg[1:0].
@N: FX493 |Applying initial value "0" on instance s_axi_rlast_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_rid_reg[0].
@N: FX493 |Applying initial value "0" on instance s_axi_rvalid_reg.
@N: FX493 |Applying initial value "0" on instance m_axil_rready_reg.
@N: FX493 |Applying initial value "0" on instance m_axil_arvalid_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_arready_reg.
@N: FX493 |Applying initial value "000" on instance burst_size_reg[2:0].
@N: FX493 |Applying initial value "0" on instance id_reg[0].
@N: FX493 |Applying initial value "000" on instance m_axil_awprot_reg[2:0].
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance m_axil_wdata_reg[31:0].
@N: FX493 |Applying initial value "0000" on instance m_axil_wstrb_reg[3:0].
@N: FX493 |Applying initial value "0" on instance first_transfer_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_bid_reg[0].
@N: FX493 |Applying initial value "0" on instance burst_active_reg.
@N: FX493 |Applying initial value "0" on instance m_axil_wvalid_reg.
@N: FX493 |Applying initial value "00" on instance s_axi_bresp_reg[1:0].
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance m_axil_awaddr_reg[31:0].
@N: FX493 |Applying initial value "0" on instance m_axil_awvalid_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_bvalid_reg.
@N: FX493 |Applying initial value "0" on instance m_axil_bready_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_wready_reg.
@N: FX493 |Applying initial value "0" on instance s_axi_awready_reg.
@N: FX493 |Applying initial value "000" on instance burst_size_reg[2:0].
@N: FX493 |Applying initial value "0" on instance id_reg[0].
@N: FX493 |Applying initial value "000" on instance m_axil_arprot_reg[2:0].
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance s_axi_rdata_reg[31:0].
